cnpj,razao_social,nome_fantasia,registro_crea
00123065000146,SOLARE ENGENHARIA FOTOVOLTAICA EIRELI,SOLARE,93045
00123066000191,EÓLICA BRASIL SOLUÇÕES EM ENERGIA LTDA,EÓLICA,91553
00123067000135,CONCRENORTE USINA E ENGENHARIA DE CONCRETO S.A.,CONCRENORTE,33229
00123068000180,ASFALTO BOM PAVIMENTAÇÃO LTDA,ASFALTO,45544
00123069000124,TRANSNORTE ENGENHARIA DE TRÁFEGO LTDA,TRANSNORTE,40412
00123070000105,FERRO E FOGO ENGENHARIA DE SOLDAGEM LTDA,FERRO,49715
00123071000159,SEMENTE CERTA ENGENHARIA AGRONÔMICA LTDA,SEMENTE,46747
00123072000114,COLHEITA FARTA CONSULTORIA AGRÍCOLA S.A.,COLHEITA,95785
00123073000169,VERDEJANTE PAISAGISMO E AGRONOMIA EIRELI,VERDEJANTE,37555
00123074000113,ECOSISTEMA RECUPERAÇÃO DE ÁREAS DEGRADADAS LTDA,ECOSISTEMA,64446
00123075000158,BIONORTE TRATAMENTO DE RESÍDUOS LTDA,BIONORTE,37113
00123076000102,FAUNA E FLORA MONITORAMENTO AMBIENTAL S.A.,FAUNA,33291
00123077000147,SILVICULTURA AMAZÔNICA LTDA,SILVICULTURA,24744
00123078000191,AGROPEC NUTRIÇÃO E PASTAGENS LTDA,AGROPEC,81063
00123079000136,IRRIGAR ENGENHARIA DE IRRIGAÇÃO LTDA,IRRIGAR,76997
00123080000117,SOLO RICO ANÁLISES E ENGENHARIA AGRONÔMICA LTDA,SOLO,62382
00123081000162,TECNOOBRAS CONSTRUÇÕES INTELIGENTES LTDA,TECNOOBRAS,85757
00123082000116,INFRANORTE MANUTENÇÃO DE RODOVIAS S.A.,INFRANORTE,92371
00123083000151,LÓGICA INSTALAÇÕES DE REDES LTDA,LÓGICA,83301
00123084000106,MEGAESTRUTURAS ENGENHARIA PRÉ-MOLDADA EIRELI,MEGAESTRUTURAS,47039
00123085000140,ACÚSTICA AMAZONAS ISOLAMENTO TÉRMICO E SONORO LTDA,ACÚSTICA,63893
00123086000195,PROTEÇÃO MAX SISTEMAS CONTRA INCÊNDIO LTDA,PROTEÇÃO,28192
00123087000139,ELEVADORES NORTE MANUTENÇÃO E INSTALAÇÃO S.A.,ELEVADORES,91267
00123088000184,POÇOS ARTESIANOS AMAZONAS ENGENHARIA LTDA,POÇOS,47608
00123089000128,FUNDAÇÕES PROFUNDAS OBRAS ESPECIAIS LTDA,FUNDAÇÕES,40168
00123090000100,IMPERMEABILIZA ENGENHARIA DE SUPERFÍCIES LTDA,IMPERMEABILIZA,68810
00123091000155,CONSTRUTORA NOVO MILÊNIO LTDA,CONSTRUTORA,13341
00123092000100,GÊNESIS ENGENHARIA DE SOFTWARES E AUTOMAÇÃO S.A.,GÊNESIS,82940
00123093000144,ÓRION MONTAGENS INDUSTRIAIS EIRELI,ÓRION,82855
00123094000199,NEXUS ENGENHARIA DE TELECOMUNICAÇÕES LTDA,NEXUS,73499
00123095000133,PARINTINS TERRAPLENAGEM E OBRAS LTDA,PARINTINS,93453
00123096000188,ITACOATIARA NAVAL ENGENHARIA E PROJETOS LTDA,ITACOATIARA,91215
00123097000132,PONTA NEGRA EMPREENDIMENTOS IMOBILIÁRIOS S.A.,PONTA,95393
00123098000174,ENCONTRO DAS ÁGUAS ENGENHARIA FLUVIAL LTDA,ENCONTRO,30283
00123099000119,LÚMEN ENGENHARIA DE ILUMINAÇÃO PÚBLICA LTDA,LÚMEN,65246
00123100000105,"OMEGA CONSULTORIA, PERÍCIAS E AVALIAÇÕES LTDA",OMEGA,70575
