numero,tipo,contratante,objeto
AM20269999165,OBRA,Prefeitura Municipal,Construção de Edifício
AM20269999166,OBRA,Condomínio Residencial,Reforma Estrutural
AM20269999167,OBRA,Condomínio Residencial,Projeto Elétrico e Execução
AM20269999168,OBRA,João Silva LTDA,Construção de Edifício
AM20269999169,OBRA,Prefeitura Municipal,Reforma Estrutural
AM20269999170,OBRA,Indústria ABC S.A.,Reforma Estrutural
AM20269999171,OBRA,Condomínio Residencial,Projeto Elétrico e Execução
AM20269999172,OBRA,Indústria ABC S.A.,Laudo Técnico de Instalação
AM20269999173,OBRA,Governo do Estado,Reforma Estrutural
AM20269999174,OBRA,Prefeitura Municipal,Construção de Edifício
AM20269999175,OBRA,Indústria ABC S.A.,Construção de Edifício
AM20269999176,OBRA,Condomínio Residencial,Projeto Elétrico e Execução
AM20269999177,OBRA,João Silva LTDA,Laudo Técnico de Instalação
AM20269999178,OBRA,Governo do Estado,Reforma Estrutural
AM20269999179,OBRA,Condomínio Residencial,Laudo Técnico de Instalação
AM20269999180,OBRA,João Silva LTDA,Manutenção Preventiva
AM20269999181,OBRA,Prefeitura Municipal,Reforma Estrutural
AM20269999182,OBRA,Indústria ABC S.A.,Reforma Estrutural
AM20269999183,OBRA,João Silva LTDA,Manutenção Preventiva
AM20269999184,OBRA,João Silva LTDA,Laudo Técnico de Instalação
AM20269999185,OBRA,João Silva LTDA,Projeto Elétrico e Execução
AM20269999186,OBRA,Governo do Estado,Construção de Edifício
AM20269999187,OBRA,João Silva LTDA,Reforma Estrutural
AM20269999188,OBRA,Indústria ABC S.A.,Manutenção Preventiva
AM20269999189,OBRA,Governo do Estado,Laudo Técnico de Instalação
AM20269999190,OBRA,Governo do Estado,Laudo Técnico de Instalação
AM20269999191,OBRA,Prefeitura Municipal,Laudo Técnico de Instalação
AM20269999192,OBRA,João Silva LTDA,Reforma Estrutural
AM20269999193,OBRA,Condomínio Residencial,Projeto Elétrico e Execução
AM20269999194,OBRA,Indústria ABC S.A.,Laudo Técnico de Instalação
AM20269999195,OBRA,Indústria ABC S.A.,Laudo Técnico de Instalação
AM20269999196,OBRA,Prefeitura Municipal,Laudo Técnico de Instalação
AM20269999197,OBRA,Condomínio Residencial,Projeto Elétrico e Execução
AM20269999198,OBRA,Condomínio Residencial,Projeto Elétrico e Execução
AM20269999199,OBRA,João Silva LTDA,Construção de Edifício
AM20269999200,OBRA,Governo do Estado,Projeto Elétrico e Execução
AM20269999201,OBRA,Prefeitura Municipal,Laudo Técnico de Instalação
AM20269999202,OBRA,Condomínio Residencial,Reforma Estrutural
AM20269999203,OBRA,Indústria ABC S.A.,Manutenção Preventiva
AM20269999204,OBRA,Condomínio Residencial,Construção de Edifício
AM20269999205,OBRA,João Silva LTDA,Reforma Estrutural
AM20269999206,OBRA,Indústria ABC S.A.,Projeto Elétrico e Execução
AM20269999207,OBRA,Indústria ABC S.A.,Reforma Estrutural
AM20269999208,OBRA,Governo do Estado,Manutenção Preventiva
AM20269999209,OBRA,Indústria ABC S.A.,Construção de Edifício
AM20269999210,OBRA,João Silva LTDA,Reforma Estrutural
AM20269999211,OBRA,Indústria ABC S.A.,Reforma Estrutural
AM20269999212,OBRA,Governo do Estado,Laudo Técnico de Instalação
AM20269999213,OBRA,Governo do Estado,Laudo Técnico de Instalação
AM20269999214,OBRA,Prefeitura Municipal,Manutenção Preventiva
AM20269999215,OBRA,Prefeitura Municipal,Projeto Elétrico e Execução
AM20269999216,OBRA,Indústria ABC S.A.,Projeto Elétrico e Execução
AM20269999217,OBRA,Indústria ABC S.A.,Reforma Estrutural
AM20269999218,OBRA,Governo do Estado,Laudo Técnico de Instalação
AM20269999219,OBRA,Governo do Estado,Laudo Técnico de Instalação
AM20269999220,OBRA,João Silva LTDA,Laudo Técnico de Instalação
AM20269999221,OBRA,Condomínio Residencial,Construção de Edifício
AM20269999222,OBRA,Indústria ABC S.A.,Manutenção Preventiva
AM20269999223,OBRA,João Silva LTDA,Manutenção Preventiva
AM20269999224,OBRA,Prefeitura Municipal,Construção de Edifício
AM20269999225,OBRA,Indústria ABC S.A.,Projeto Elétrico e Execução
AM20269999226,OBRA,Prefeitura Municipal,Manutenção Preventiva
AM20269999227,OBRA,Condomínio Residencial,Manutenção Preventiva
AM20269999228,OBRA,Governo do Estado,Laudo Técnico de Instalação
AM20269999229,OBRA,Governo do Estado,Laudo Técnico de Instalação
AM20269999230,OBRA,Indústria ABC S.A.,Construção de Edifício
AM20269999231,OBRA,Prefeitura Municipal,Reforma Estrutural
AM20269999232,OBRA,Condomínio Residencial,Manutenção Preventiva
AM20269999233,OBRA,João Silva LTDA,Projeto Elétrico e Execução
AM20269999234,OBRA,Condomínio Residencial,Reforma Estrutural
AM20269999235,OBRA,Governo do Estado,Reforma Estrutural
AM20269999236,OBRA,João Silva LTDA,Reforma Estrutural
AM20269999237,OBRA,Indústria ABC S.A.,Laudo Técnico de Instalação
AM20269999238,OBRA,João Silva LTDA,Reforma Estrutural
AM20269999239,OBRA,João Silva LTDA,Construção de Edifício
AM20269999240,OBRA,João Silva LTDA,Manutenção Preventiva
AM20269999241,OBRA,João Silva LTDA,Projeto Elétrico e Execução
AM20269999242,OBRA,Indústria ABC S.A.,Construção de Edifício
AM20269999243,OBRA,Indústria ABC S.A.,Manutenção Preventiva
AM20269999244,OBRA,Indústria ABC S.A.,Manutenção Preventiva
AM20269999245,OBRA,João Silva LTDA,Projeto Elétrico e Execução
AM20269999246,OBRA,Prefeitura Municipal,Construção de Edifício
AM20269999247,OBRA,Condomínio Residencial,Construção de Edifício
AM20269999248,OBRA,Condomínio Residencial,Construção de Edifício
AM20269999249,OBRA,João Silva LTDA,Manutenção Preventiva
AM20269999250,OBRA,Condomínio Residencial,Laudo Técnico de Instalação
AM20269999251,OBRA,João Silva LTDA,Construção de Edifício
AM20269999252,OBRA,Governo do Estado,Construção de Edifício
AM20269999253,OBRA,Indústria ABC S.A.,Laudo Técnico de Instalação
AM20269999254,OBRA,Indústria ABC S.A.,Laudo Técnico de Instalação
AM20269999255,OBRA,Condomínio Residencial,Construção de Edifício
AM20269999256,OBRA,Indústria ABC S.A.,Laudo Técnico de Instalação
AM20269999257,OBRA,Indústria ABC S.A.,Projeto Elétrico e Execução
AM20269999258,OBRA,Indústria ABC S.A.,Manutenção Preventiva
AM20269999259,OBRA,João Silva LTDA,Manutenção Preventiva
AM20269999260,OBRA,Condomínio Residencial,Manutenção Preventiva
AM20269999261,OBRA,Condomínio Residencial,Construção de Edifício
AM20269999262,OBRA,Prefeitura Municipal,Laudo Técnico de Instalação
AM20269999263,OBRA,Governo do Estado,Manutenção Preventiva
AM20269999264,OBRA,Indústria ABC S.A.,Projeto Elétrico e Execução
AM20269999265,OBRA,Condomínio Residencial,Manutenção Preventiva
AM20269999266,OBRA,Governo do Estado,Laudo Técnico de Instalação
AM20269999267,OBRA,Prefeitura Municipal,Laudo Técnico de Instalação
AM20269999268,OBRA,Condomínio Residencial,Laudo Técnico de Instalação
AM20269999269,OBRA,Condomínio Residencial,Laudo Técnico de Instalação
AM20269999270,OBRA,João Silva LTDA,Reforma Estrutural
AM20269999271,OBRA,Indústria ABC S.A.,Projeto Elétrico e Execução
AM20269999272,OBRA,Governo do Estado,Laudo Técnico de Instalação
AM20269999273,OBRA,Prefeitura Municipal,Construção de Edifício
AM20269999274,OBRA,Indústria ABC S.A.,Construção de Edifício
AM20269999275,OBRA,Condomínio Residencial,Laudo Técnico de Instalação
AM20269999276,OBRA,Indústria ABC S.A.,Construção de Edifício
AM20269999277,OBRA,Indústria ABC S.A.,Laudo Técnico de Instalação
AM20269999278,OBRA,Prefeitura Municipal,Projeto Elétrico e Execução
AM20269999279,OBRA,Prefeitura Municipal,Manutenção Preventiva
AM20269999280,OBRA,Indústria ABC S.A.,Laudo Técnico de Instalação
AM20269999281,OBRA,João Silva LTDA,Laudo Técnico de Instalação
AM20269999282,OBRA,Indústria ABC S.A.,Manutenção Preventiva
AM20269999283,OBRA,Governo do Estado,Laudo Técnico de Instalação
AM20269999284,OBRA,João Silva LTDA,Reforma Estrutural
AM20269999285,OBRA,Indústria ABC S.A.,Reforma Estrutural
AM20269999286,OBRA,João Silva LTDA,Reforma Estrutural
AM20269999287,OBRA,Prefeitura Municipal,Manutenção Preventiva
AM20269999288,OBRA,Condomínio Residencial,Reforma Estrutural
AM20269999289,OBRA,Governo do Estado,Construção de Edifício
AM20269999290,OBRA,João Silva LTDA,Reforma Estrutural
